1|1|1
1|1|13
1|1|16
1|1|30
1|1|48
1|1|60
1|1|85
1|1|100
1|1|130
1|1|256
1|1|268
1|1|270
1|1|280
1|1|282
1|1|325
1|1|368
1|1|379
1|1|386
1|1|417
1|1|434
1|2|3
1|2|14
1|2|17
1|2|28
1|2|31
1|2|50
1|2|61
1|2|86
1|2|101
1|2|131
1|2|257
1|2|271
1|2|283
1|2|312
1|2|345
1|2|369
1|2|389
1|2|408
1|2|412
1|2|422
1|3|4
1|3|19
1|3|32
1|3|46
1|3|52
1|3|65
1|3|84
1|3|87
1|3|102
1|3|133
1|3|258
1|3|274
1|3|284
1|3|347
1|3|362
1|3|372
1|3|394
1|3|425
1|3|431
1|3|437
1|4|5
1|4|22
1|4|35
1|4|53
1|4|58
1|4|59
1|4|67
1|4|88
1|4|103
1|4|134
1|4|197
1|4|262
1|4|275
1|4|285
1|4|290
1|4|349
1|4|373
1|4|378
1|4|396
1|4|428
1|5|7
1|5|24
1|5|36
1|5|47
1|5|54
1|5|68
1|5|83
1|5|89
1|5|105
1|5|136
1|5|263
1|5|269
1|5|276
1|5|282
1|5|289
1|5|351
1|5|374
1|5|397
1|5|409
1|5|429
1|6|8
1|6|25
1|6|38
1|6|55
1|6|70
1|6|91
1|6|98
1|6|99
1|6|112
1|6|186
1|6|264
1|6|277
1|6|281
1|6|290
1|6|356
1|6|369
1|6|375
1|6|398
1|6|430
1|6|436
1|7|9
1|7|26
1|7|39
1|7|56
1|7|71
1|7|92
1|7|113
1|7|126
1|7|127
1|7|188
1|7|265
1|7|278
1|7|291
1|7|324
1|7|325
1|7|347
1|7|359
1|7|376
1|7|407
1|7|431
1|8|12
1|8|27
1|8|29
1|8|45
1|8|57
1|8|80
1|8|97
1|8|117
1|8|193
1|8|194
1|8|266
1|8|279
1|8|298
1|8|361
1|8|364
1|8|377
1|8|389
1|8|408
1|8|417
1|8|434
2|1|1
2|1|21
2|1|41
2|1|61
2|1|81
2|1|101
2|1|123
2|1|143
2|1|146
2|1|176
2|1|256
2|1|276
2|1|296
2|1|316
2|1|336
2|1|356
2|1|376
2|1|396
2|1|416
2|1|436
2|2|2
2|2|22
2|2|42
2|2|62
2|2|82
2|2|102
2|2|124
2|2|144
2|2|148
2|2|177
2|2|257
2|2|277
2|2|297
2|2|317
2|2|337
2|2|357
2|2|377
2|2|397
2|2|417
2|2|437
2|3|3
2|3|23
2|3|43
2|3|63
2|3|83
2|3|103
2|3|125
2|3|145
2|3|149
2|3|178
2|3|258
2|3|278
2|3|298
2|3|318
2|3|338
2|3|358
2|3|378
2|3|398
2|3|418
2|3|438
2|4|4
2|4|20
2|4|24
2|4|44
2|4|64
2|4|84
2|4|104
